0.677;0.744;0.0;0.0;
0.261;0.403;197.0;0.0;
0.464;0.03;213.0;0.0;
0.444;0.319;147.0;0.0;
0.044;0.614;365.0;0.0;
0.705;0.89;35.0;0.0;
0.153;0.483;14.0;0.0;
0.417;0.471;315.0;0.0;
0.541;0.507;406.0;0.314845020686;
0.501;0.282;150.0;0.0;
0.168;0.441;11.0;0.777378137131;
0.514;0.197;369.0;0.0;
0.214;0.062;197.0;0.0;
0.001;0.916;273.0;0.0;
0.053;0.011;391.0;0.0;
0.197;0.41;453.0;0.0;
0.007;0.624;487.0;0.0;
0.62;0.367;272.0;0.0;
0.8;0.048;61.0;0.252368348436;
0.433;0.599;488.0;0.0;
0.917;0.146;432.0;0.0;
0.888;0.562;112.0;0.0;
0.007;0.396;14.0;0.0;
0.719;0.942;137.0;0.0;
0.855;0.198;486.0;0.0;
0.254;0.302;254.0;0.0;
0.72;0.897;49.0;0.0;
0.286;0.699;217.0;0.0;
0.816;0.53;37.0;0.0;
0.619;0.541;79.0;0.0;
0.831;0.886;422.0;0.138424497981;
0.695;0.47;304.0;0.0;
0.453;0.177;453.0;0.0;
0.047;0.274;223.0;0.0;
0.344;0.39;206.0;0.0;
0.539;0.42;3.0;0.770163101309;
0.637;0.563;463.0;0.0;
0.646;0.372;418.0;0.387149697049;
0.387;0.753;420.0;0.995;
0.485;0.055;136.0;0.0;
0.114;0.571;36.0;0.0;
0.061;0.204;200.0;0.0;
0.28;0.905;207.0;0.0;
0.351;0.659;314.0;0.0;
0.835;0.061;193.0;0.0;
0.582;0.396;94.0;0.0;
0.531;0.983;133.0;0.0;
0.465;0.96;136.0;0.0;
0.072;0.79;417.0;0.0;
0.298;0.573;137.0;0.0;
0.088;0.546;375.0;0.0;
0.002;0.15;1.0;0.0;
0.889;0.208;83.0;0.0;
0.294;0.412;347.0;0.0;
0.69;0.078;369.0;0.0;
0.525;0.821;264.0;0.0;
0.091;0.108;75.0;0.0;
0.352;0.874;2.0;0.0;
0.671;0.012;203.0;0.0;
0.457;0.94;217.0;0.0;
0.218;0.581;27.0;0.0;
0.115;0.937;321.0;0.0;
0.056;0.992;300.0;0.0;
0.688;0.434;142.0;0.0;
0.695;0.258;346.0;0.0;
0.192;0.686;438.0;0.0;
0.284;0.59;194.0;0.0;
0.047;0.495;400.0;0.55964099943;
0.726;0.305;436.0;0.0;
0.182;0.097;243.0;0.0;
0.417;0.192;448.0;0.0;
0.856;0.182;315.0;0.0;
0.022;0.138;313.0;0.0;
0.058;0.368;478.0;0.0;
0.168;0.283;0.0;0.0;
0.033;0.278;316.0;0.170363012599;
0.355;0.968;163.0;0.0;
0.986;0.909;65.0;0.0;
0.161;0.599;418.0;0.0;
0.985;0.684;33.0;0.0;
0.65;0.305;329.0;0.0;
0.77;0.491;195.0;0.0;
0.336;0.818;24.0;0.0;
0.753;0.762;437.0;0.0;
0.663;0.944;413.0;0.0;
0.764;0.566;269.0;0.0;
0.741;0.546;46.0;0.0;
0.684;0.573;193.0;0.0;
0.383;0.979;354.0;0.0;
0.99;0.486;140.0;0.0;
0.53;0.865;87.0;0.0;
0.873;0.283;214.0;0.0;
0.864;0.519;364.0;0.0;
0.526;0.003;415.0;0.0;
0.419;0.018;278.0;0.0;
0.163;0.793;13.0;0.0;
0.415;0.41;116.0;0.0;
0.888;0.768;98.0;0.0;
0.511;0.588;389.0;0.0;
0.306;0.971;397.0;0.0;
0.317;0.461;186.0;0.0;
0.44;0.485;461.0;0.0;
0.45;0.911;412.0;0.0;
0.639;0.727;184.0;0.0;
0.769;0.249;232.0;0.0;
0.415;0.196;62.0;0.0;
0.844;0.053;208.0;0.0;
0.111;0.619;496.0;0.0;
0.288;0.113;139.0;0.0;
0.659;0.658;73.0;0.0;
0.45;0.213;86.0;0.0;
0.002;0.245;424.0;0.556779462971;
0.292;0.417;124.0;0.0;
0.669;0.287;355.0;0.0;
0.076;0.874;421.0;0.533777658617;
0.194;0.109;112.0;0.0;
0.063;0.686;24.0;0.0;
0.048;0.637;440.0;0.0;
0.671;0.572;179.0;0.0;
0.318;0.198;57.0;0.0;
0.837;0.705;259.0;0.0;
0.934;0.874;350.0;0.0;
0.576;0.598;437.0;0.0;
0.632;0.978;172.0;0.0;
0.203;0.174;203.0;0.0;
0.539;0.227;411.0;0.0709084484772;
0.403;0.501;284.0;0.0;
0.973;0.039;409.0;0.0;
0.573;0.01;441.0;0.0;
0.349;0.877;10.0;0.0;
0.502;0.719;192.0;0.0;
0.622;0.096;486.0;0.0;
0.906;0.899;166.0;0.0;
0.114;0.255;434.0;0.0;
0.503;0.195;230.0;0.0;
0.431;0.572;21.0;0.504282226351;
0.419;0.184;168.0;0.0;
0.2;0.21;238.0;0.0;
0.886;0.311;216.0;0.0;
0.054;0.479;111.0;0.0;
0.511;0.681;179.0;0.0;
0.408;0.038;310.0;0.0;
0.048;0.988;182.0;0.0;
0.622;0.818;166.0;0.0;
0.602;0.522;50.0;0.0;
0.842;0.806;36.0;0.0;
0.854;0.296;250.0;0.0;
0.712;0.217;29.0;0.0;
0.117;0.625;478.0;0.0;
0.939;0.976;267.0;0.0;
